,neighborhood,latitude,longitude,name,categories
2754,Urca,-22950347,-43167185,Edicoes Del Prado do Brasil Ltda,Professional Services
2755,Urca,-2294969,-43166855,Abc Agenciamento de MÃ£o-de-Obra,Professional Services
2756,Urca,-22949142,-43165964,ItaÃº Unibanco,Professional Services
2757,Botafogo,-22954935,-43173818,Bg do Brasil,Professional Services
2758,Botafogo,-22954868,-43173942,Bergmann Technologies do Brasil Ltda,Professional Services
2759,Botafogo,-22954706,-43174127,Spolavori Import,Professional Services
2760,Botafogo,-22954706,-43174127,Stella Tecidos Decorativos Ltda,Professional Services
2761,Urca,-22952179,-43173941,Banco do Brasil,Professional Services
2762,Botafogo,-22954344,-43174683,M M Salles Producoes Ltda,Professional Services
2763,Botafogo,-22955567,-43175151,CondomÃ­nio do EdifÃ­cio Rio Potengy,Professional Services
2764,Botafogo,-2295107,-43175295,Adonis Karan Empreendimentos Artisticos,Professional Services
2765,Leme,-22961663,-43166388,CondomÃ­nio do EdifÃ­cio Macedo,Professional Services
2766,Botafogo,-22952064,-43176071,Mp Shopping Car Ltda,Professional Services
2767,Botafogo,-22952157,-43176136,Paolo Tassinari Imoveis Ltda,Professional Services
2768,Botafogo,-22956365,-43176174,Brasitec,Professional Services
2769,Botafogo,-22956396,-43176156,Construtora Norberto Odebrecht,Professional Services
2770,Botafogo,-22952618,-43176712,Cittadino Distribuidora de Bebidas Ltda.,Professional Services
2771,Centro,-22905174,-43184425,CaÃ§ula Aviamentos,Professional Services
2772,Centro,-22903638,-4318119,PalÃ¡cio da Ferramenta,Professional Services
2773,Centro,-22905672,-43183496,Mongeral Aegon,Professional Services
2774,Centro,-22902366,-43185362,Banco do Brasil,Professional Services
2775,Centro,-22902806,-43184181,Grupo Natan,Professional Services
2776,Centro,-22902993,-43181678,Pulcher Studio,Professional Services
2777,Centro,-22904906,-43181094,ATN Contact Center,Professional Services
2778,Centro,-22904433,-4318629,DÃ¡lia ComÃ©rcio de Roupas,Professional Services
2779,Centro,-22902932,-43185501,Banco Bradesco,Professional Services
2780,Centro,-22902251,-43180906,Condominio do Edificio Corrfa,Professional Services
2781,Centro,-22904906,-43179777,Centro Empresarial Rio,Professional Services
2782,Centro,-22905003,-43179717,Psicologia e Coaching,Professional Services
2783,Centro,-22905711,-43173963,Banco Bradesco,Professional Services
2784,Centro,-22901257,-43184081,Banco Bradesco,Professional Services
2785,Centro,-22901432,-43180761,Condominio do Edificio Sisal,Professional Services
2786,Centro,-22903219,-43178859,CartÃ³rio do 12Âº OfÃ­cio de Notas,Professional Services
2787,Centro,-22906141,-43178827,Riocard Mais,Professional Services
2788,Centro,-22908682,-4318338,Polo Novo Rio Antigo,Professional Services
