Column1;neighborhood;latitude;longitude;name;categories
3202;HumaitÃ¡;-22.962962;-43.210897;Point do coco gelado;Various Restaurants
3203;Copacabana;-22.964592;-43.193245;Padaria Mirante;Various Restaurants
3204;Lagoa;-22.964316;-43.203339;Rede Cruzada;Various Restaurants
3205;Lagoa;-22.960458;-43.204564;Le Sommelier;Various Restaurants
3206;Lagoa;-22.960545;-43.20488;Fz - Lagoa Cafe e Lanchonete - - Lagoa;Various Restaurants
3207;Jardim BotÃ¢nico;-22.960671;-43.2062;Bibi sucos - jardim botÃƒÂ¢nico;Various Restaurants
3208;Laranjeiras;-22.936149;-43.185101;SalÃƒÂ£o Nobre Fluminense;Various Restaurants
3209;Laranjeiras;-22.936351;-43.189874;MaÃƒÂ¨ Noi;Various Restaurants
3210;Laranjeiras;-22.936185;-43.190183;Tasca do Edgar;Various Restaurants
3211;Laranjeiras;-22.938056;-43.188723;ArmazÃƒÂ©m CardosÃƒÂ£o;Various Restaurants
3212;Laranjeiras;-22.936375;-43.184919;Bar dos Guerreiros;Various Restaurants
3213;Laranjeiras;-22.93555;-43.188976;Boteco Sonho Lindo;Various Restaurants
3214;Laranjeiras;-22.932022;-43.181678;Confeitaria Itajai;Various Restaurants
3215;Laranjeiras;-22.929998;-43.18163;Varandas da Ilha;Various Restaurants
3216;Laranjeiras;-22.93783;-43.190223;Honesto Bar;Various Restaurants
3217;Laranjeiras;-22.937257;-43.18562;Bar do TÃƒÂªnis;Various Restaurants
3218;Laranjeiras;-22.935388;-43.188945;WishaWich;Various Restaurants
3219;Laranjeiras;-22.934426;-43.187005;Mercadez;Various Restaurants
3220;Laranjeiras;-22.93573;-43.189357;Toca do Juca;Various Restaurants
3221;Laranjeiras;-22.932438;-43.182817;Churrascaria GaÃƒÂºcha;Various Restaurants
3222;Laranjeiras;-22.936562;-43.190318;Confeitaria Lamego;Various Restaurants
3223;Laranjeiras;-22.936565;-43.184923;Restaurante e Petiscos Tricolor 41;Various Restaurants
3224;Laranjeiras;-22.935677;-43.18371;Covil EtÃƒÂ­lico;Various Restaurants
3225;Laranjeiras;-22.934457;-43.180482;ImpÃƒÂ©rio da PraÃƒÂ§a;Various Restaurants
3226;Laranjeiras;-22.938655;-43.191434;DogÃƒÂ£o das Laranjeiras;Various Restaurants
3227;Laranjeiras;-22.936135;-43.180459;Pastel e Caldo de Cana do Bigode;Various Restaurants
3228;Laranjeiras;-22.93376;-43.180195;Casa MilÃƒÂ ;Various Restaurants
3229;Catete;-22.931513;-43.179157;Brasa Grill;Various Restaurants
3230;Laranjeiras;-22.930473;-43.179653;Dim Sum Rio Ã©Â»Å¾Ã¥Â¿Æ’;Various Restaurants
3231;Cosme Velho;-22.926032;-43.191196;The Green;Various Restaurants
3232;Leblon;-22.984154;-43.224076;Confeitaria Kurt;Various Restaurants
3233;Leblon;-22.982438;-43.225729;Boteco Belmonte;Various Restaurants
3234;Leblon;-22.982032;-43.224214;CT Boucherie;Various Restaurants
3235;Leblon;-22.983703;-43.223124;Giuseppe Grill;Various Restaurants
3236;Laranjeiras;-22.983462;-43.22659;Pizzaria Zona Sul;Various Restaurants
3237;Leblon;-22.984235;-43.227278;Nola;Various Restaurants
3238;Leblon;-22.984021;-43.226959;Rainha Bar e Restaurante;Various Restaurants
3239;Leblon;-22.984662;-43.227915;Momo Gelato;Various Restaurants
3240;Leblon;-22.98313;-43.225871;Brewteco;Various Restaurants
3241;Leblon;-22.985821;-43.227065;BB Lanches;Various Restaurants
3242;Leblon;-22.985319;-43.226927;Jobi;Various Restaurants
3243;Leblon;-22.984212;-43.221694;Bibi Sucos;Various Restaurants
3244;Leblon;-22.985644;-43.226559;Nam Thai;Various Restaurants
3245;Leblon;-22.983896;-43.221686;Bar Bracarense;Various Restaurants
3246;Leblon;-22.984585;-43.223271;Starbucks;Various Restaurants
3247;Leblon;-22.984086;-43.220373;TapÃƒÂ­ Tapioca;Various Restaurants
3248;Leblon;-22.984137;-43.220876;Big Polis;Various Restaurants
3249;Leblon;-22.986042;-43.224498;Oro Restaurante;Various Restaurants
3250;Leblon;-22.981051;-43.222935;Chez Claude;Various Restaurants
3251;Leblon;-22.984234;-43.220816;Bar do Bacana;Various Restaurants
3252;Leblon;-22.982466;-43.223283;Pabu Izakaya;Various Restaurants
3253;Leblon;-22.98515;-43.219583;Malta Beef Club;Various Restaurants
3254;Leblon;-22.985478;-43.228186;Esch CafÃƒÂ©;Various Restaurants
3255;Leblon;-22.989862;-43.227412;Mirante do Leblon;Various Restaurants
3256;Leblon;-22.984171;-43.220814;Bibi Crepes;Various Restaurants
3257;Leblon;-22.98244;-43.217824;Le Depanneur Delicatessen;Various Restaurants
3258;Leblon;-22.988065;-43.224943;Barraca ParaÃƒÂ­so do Leblon;Various Restaurants
3259;Leblon;-22.98643;-43.226766;Bar Veloso;Various Restaurants
3260;Leblon;-22.984062;-43.220059;Clipper;Various Restaurants
3261;Leblon;-22.982016;-43.217062;Brasserie Mimolette;Various Restaurants
3262;GÃ¡vea;-22.975912;-43.228709;DelÃƒÂ­rio Tropical;Various Restaurants
3263;Leblon;-22.978928;-43.221755;O Mais Querido da Gavea;Various Restaurants
3264;Leblon;-22.982092;-43.224341;Sabor D.O.C.;Various Restaurants
3265;Leblon;-22.98414;-43.223386;Coffeetown;Various Restaurants
3266;Leblon;-22.984011;-43.222191;FilÃƒÂ© do Lira;Various Restaurants
3267;Leblon;-22.986673;-43.218051;Azur;Various Restaurants
3268;Leblon;-22.983563;-43.218479;Madero Steak House;Various Restaurants
3269;Leblon;-22.985578;-43.226682;Natural Polis;Various Restaurants
3270;Copacabana;-22.986233;-43.228329;Boteco Boa PraÃƒÂ§a;Various Restaurants
3271;Leme;-22.962169;-43.1664;Marius Degustare;Various Restaurants
3272;Leme;-22.960976;-43.169947;Bar do David;Various Restaurants
3273;Copacabana;-22.962566;-43.168292;Boteco Belmonte;Various Restaurants
3274;Leme;-22.964231;-43.169601;Jack Beach Point-Praia do Leme;Various Restaurants
3275;Copacabana;-22.964455;-43.172665;Joaquina;Various Restaurants
3276;Leme;-22.964512;-43.172917;Bistro Salome Leme;Various Restaurants
3277;Leme;-22.96388;-43.172902;FrÃƒÂ©dÃƒÂ©ric Epicerie;Various Restaurants
3278;Copacabana;-22.962253;-43.176063;Galeto Sat's;Various Restaurants
3279;Copacabana;-22.964723;-43.174679;Crack dos Galetos;Various Restaurants
3280;Copacabana;-22.964539;-43.173106;The View;Various Restaurants
3281;Leme;-22.963193;-43.171192;Shirley;Various Restaurants
3282;Copacabana;-22.962253;-43.176063;Bar e Restaurante Cervantes Rio Ltda;Various Restaurants
3283;Copacabana;-22.963437;-43.175527;Fornalha;Various Restaurants
3284;Leme;-22.963491;-43.17327;Mundeco Bar;Various Restaurants
3285;Urca;-22.955561;-43.16618;CÃƒÂ­rculo Militar da Praia Vermelha;Various Restaurants
3286;Urca;-22.955952;-43.165687;Terra Brasilis;Various Restaurants
3287;Leme;-22.962479;-43.169293;Novo Veneziana;Various Restaurants
3288;Leme;-22.964072;-43.171464;Supermercado Zona Sul;Various Restaurants
3289;Leme;-22.96216;-43.175998;Caju GastroBar;Various Restaurants
3290;Leme;-22.960419;-43.169432;Estrelas da BabilÃƒÂ´nia;Various Restaurants
3291;Leme;-22.965901;-43.174534;Quiosque da Boa;Various Restaurants
3292;Leme;-22.964105;-43.17272;Leme Light;Various Restaurants
3293;Leme;-22.963012;-43.174764;Companhia do Garfo;Various Restaurants
3294;Leme;-22.962834;-43.170305;PanificaÃƒÂ§ÃƒÂ£o Confeitaria Duque Caxias;Various Restaurants
3295;Copacabana;-22.964458;-43.17254;Taberna AtlÃƒÂ¢ntica;Various Restaurants
3296;Copacabana;-22.963678;-43.176034;PanificaÃƒÂ§ÃƒÂ£o e Confeitaria AtlÃƒÂ¢ntica;Various Restaurants
3297;Urca;-22.954329;-43.167405;ÃƒÂrabe Urca;Various Restaurants
3298;Copacabana;-22.962699;-43.174631;Banana Tropical;Various Restaurants
3299;Urca;-22.962988;-43.167299;Quiosque Ginga Rio;Various Restaurants
3300;Leme;-22.962506;-43.169482;XodÃƒÂ³ da MoÃƒÂ§a;Various Restaurants
